"intc","q","k","s","r","bm","r1","r2","n2"
"(Intercept)",4.15707478333813,-0.00218719680303568,0.342738674381398,0.00752741298566295,"albumin",0.000553665702854874,0.00638152903807342,4.07239128637743e-05
"(Intercept)1",54.9583758667919,0.629927313420125,27.8825743309106,0.0868189733072162,"alp",0.00665679057064468,0.0225921504214117,0.000510405260663694
"(Intercept)2",0.400990947079019,0.0021090681030748,0.574405286695375,0.00250502949496867,"crp",0.00018377168486411,0.00367174215127532,1.34816904254519e-05
"(Intercept)3",146.349524338774,1.31479151585702,41.2274339198317,0.159630135926564,"totchol",0.0127417192149541,0.0318911799947017,0.00101704736145446
"(Intercept)4",0.584474180668686,0.00325438285236324,0.165217531603129,0.0673692036710539,"creat",0.00511261653714666,0.0196975636954838,0.000387994015537642
"(Intercept)5",4.44979292833497,0.0229536169026085,1.01177362099901,0.0877771016964973,"hba1c",0.0067213791599621,0.0226865144793402,0.000514677939221313
"(Intercept)6",85.5113809096148,0.79615504192375,16.8458916829032,0.292280579944928,"sbp",0.0255507484357951,0.0472610804408628,0.00223360972443771
"(Intercept)7",6.19356961896122,0.144843569568692,4.23475787809203,0.178647623558934,"bun",0.0144567029108521,0.0342035067265642,0.00116987987239412
"(Intercept)8",3.53464388175516,0.0250999981028597,1.29280630164241,0.0656020853592637,"uap",0.00497277776345057,0.0194151266674459,0.000376947143512969
"(Intercept)9",34.7335677793059,-0.0160952470955712,8.5668255942352,0.00065862069094369,"lymph",4.82164695709713e-05,0.00187878776315956,3.52984345899811e-06
"(Intercept)10",86.274817650918,0.0513793810309676,5.78871799072601,0.0145084794842453,"mcv",0.00106909777437354,0.0088757789053261,7.87794511762317e-05
"(Intercept)11",7.54367951129874,-0.00773711640647048,2.13408561445048,0.00244683769996634,"wbc",0.000179336989194348,0.00362549485085338,1.31442129135643e-05
